WebQTrn-13	which countries border the us ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q30 " ^^wd:country ;
WebQTrn-23	what high school did president bill clinton attend ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q1124 " ^^wd:human ;
WebQTrn-31	who was ishmael ' s mom ?	[ mother ] of @wd . fictional_character ( ) filter id == " Q183403 " ^^wd:fictional_character ;
WebQTrn-47	what county is heathrow airport in ?	[ located_in_the_administrative_territorial_entity ] of @wd . entity ( ) filter id == " Q8691 " ^^wd:entity ;
WebQTrn-49	what movie is josh hutcherson in ?	@wd . film ( ) filter contains ( cast_member , " Q217004 " ^^wd:p_cast_member ) ;
WebQTrn-76	what college did matt lauer attend ?	[ educated_at : Entity ( wd:university ) ] of @wd . human ( ) filter id == " Q1100609 " ^^wd:human ;
WebQTrn-92	who miley cyrus engaged to ?	[ spouse ] of @wd . human ( ) filter id == " Q4235 " ^^wd:human ;
WebQTrn-121	what high school did tim allen go to ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q208408 " ^^wd:human ;
WebQTrn-122	what is the world ' s tallest building in dubai called ?	sort ( height desc of @wd . entity ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q613 " ^^wd:p_located_in_the_administrative_territorial_entity ) && instance_of == " Q41176 " ^^wd:entity_subdomain ) [ 1 ] ;
WebQTrn-142	where did c . s . lewis go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q9204 " ^^wd:human ;
WebQTrn-167	where did pres clinton go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q1124 " ^^wd:human ;
WebQTrn-174	where did pauley perrette go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q231815 " ^^wd:human ;
WebQTrn-175	where does niles crane live ?	[ residence ] of @wd . fictional_character ( ) filter id == " Q579745 " ^^wd:fictional_character ;
WebQTrn-179	where did the massive allied invasion of northern france take place in june 1944 ?	[ location ] of @wd . entity ( ) filter id == " Q16471 " ^^wd:entity ;
WebQTrn-180	which countries are part of the united kingdom ?	[ contains_administrative_territorial_entity ] of @wd . country ( ) filter id == " Q145 " ^^wd:country ;
WebQTrn-191	what are eu countries ?	[ has_parts ] of @wd . organization ( ) filter id == " Q458 " ^^wd:organization ;
WebQTrn-194	what are the 5 biggest cities in the usa ?	sort ( population desc of @wd . city ( ) filter contains ( country , " Q30 " ^^wd:p_country ) ) [ 5 ] ;
WebQTrn-200	what college did kevjumba ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q717527 " ^^wd:human ;
WebQTrn-206	who won golden boot ?	[ winner ] of @wd . entity ( ) filter id == " Q794775 " ^^wd:entity ;
WebQTrn-209	when did kings last win stanley cup ?	[ point_in_time ] of sort ( point_in_time desc of @wd . entity ( ) filter instance_of == " Q211872 " ^^wd:entity_subdomain && contains ( winner , " Q203008 " ^^wd:p_winner ) ) [ 1 ] ;
WebQTrn-212	what college did peyton manning ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q7539 " ^^wd:human ;
WebQTrn-213	what are the 2 conferences in the nfl ?	[ has_parts ] of @wd . sports_organization ( ) filter id == " Q1215884 " ^^wd:sports_organization ;
WebQTrn-223	what county is rihanna from ?	[ country_of_citizenship ] of @wd . human ( ) filter id == " Q36844 " ^^wd:human ;
WebQTrn-225	what country is located in the balkan peninsula ?	[ country ] of @wd . landform ( ) filter id == " Q23522 " ^^wd:landform ;
WebQTrn-226	what 6 states border south dakota ?	[ shares_border_with ] of @wd . administrative_territorial_entity ( ) filter id == " Q1211 " ^^wd:administrative_territorial_entity ;
WebQTrn-235	what cities should i visit in california ?	[ capital ] of @wd . entity ( ) filter contains ( located_in_the_administrative_territorial_entity , " Q99 " ^^wd:p_located_in_the_administrative_territorial_entity ) ;
WebQTrn-239	when did the lakers win the championship ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q121783 " ^^wd:p_winner ) ;
WebQTrn-241	what countries share borders with france ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q142 " ^^wd:country ;
