WebQTrn-1737	who is nolan ryan married to ?	[ spouse ] of @wd . human ( ) filter id == " Q721948 " ^^wd:human ;
WebQTrn-1754	what influenced andy warhol ' s work ?	[ influenced_by ] of @wd . human ( ) filter id == " Q5603 " ^^wd:human ;
WebQTrn-1756	who is angelina jolie husband name ?	[ spouse ] of @wd . human ( ) filter id == " Q13909 " ^^wd:human ;
WebQTrn-1763	where does bill richardson live ?	[ residence ] of @wd . human ( ) filter id == " Q311782 " ^^wd:human ;
WebQTrn-1764	who are the judges on the us supreme court ?	@wd . entity ( ) filter contains ( position_held , any ( [ id ] of @wd . entity ( ) filter contains ( subclass_of , " Q20706330 " ^^wd:p_subclass_of ) ) ) ;
WebQTrn-1769	what did the habsburg family control ?	[ owner_of ] of @wd . organization ( ) filter id == " Q65968 " ^^wd:organization ;
WebQTrn-1772	what college did michael jordan play basketball for ?	[ member_of_sports_team : Entity ( wd:college_sports_team ) ] of @wd . human ( ) filter id == " Q41421 " ^^wd:human ;
WebQTrn-1774	what countries are located in the netherlands ?	[ contains_administrative_territorial_entity ] of @wd . country ( ) filter id == " Q55 " ^^wd:country ;
WebQTrn-1778	where did pope benedict xvi live ?	[ residence ] of @wd . human ( ) filter id == " Q2494 " ^^wd:human ;
WebQTrn-1782	with which country does south africa border ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q258 " ^^wd:country ;
WebQTrn-1794	what highschool did bill gates graduated from ?	[ educated_at : Entity ( wd:high_school ) ] of @wd . human ( ) filter id == " Q5284 " ^^wd:human ;
WebQTrn-1796	what year did detroit pistons win nba championships ?	[ point_in_time ] of @wd . entity ( ) filter instance_of == " Q842375 " ^^wd:entity_subdomain && contains ( winner , " Q169661 " ^^wd:p_winner ) ;
WebQTrn-1806	who is chris cooley married to ?	[ spouse ] of @wd . human ( ) filter id == " Q2964688 " ^^wd:human ;
WebQTrn-1808	what teams does kroenke own ?	[ owner_of ] of @wd . human ( ) filter id == " Q945207 " ^^wd:human ;
WebQTrn-1809	where was the battle of shiloh ?	[ location ] of @wd . entity ( ) filter id == " Q943277 " ^^wd:entity ;
WebQTrn-1812	what countries are in the caribbean ?	[ has_parts ] of @wd . location ( ) filter id == " Q664609 " ^^wd:location ;
WebQTrn-1819	what type of aircraft does virgin america use ?	@wd . entity ( ) filter contains ( operator , " Q645084 " ^^wd:p_operator ) && instance_of == " Q15056993 " ^^wd:entity_subdomain ;
WebQTrn-1821	where is the university of oregon state ?	[ located_in_the_administrative_territorial_entity ] of @wd . higher_education_institution ( ) filter id == " Q861888 " ^^wd:higher_education_institution ;
WebQTrn-1825	what division did the baltimore colts play in ?	[ part_of ] of @wd . entity ( ) filter id == " Q193753 " ^^wd:entity ;
WebQTrn-1826	what year did us invaded iraq ?	[ start_time ] of @wd . entity ( ) filter id == " Q545449 " ^^wd:entity ;
WebQTrn-1843	who is the publisher of the wall street journal ?	[ publisher ] of @wd . newspaper ( ) filter id == " Q164746 " ^^wd:newspaper ;
WebQTrn-1845	what do tibetan people speak ?	[ language_used ] of @wd . entity ( ) filter id == " Q187985 " ^^wd:entity ;
WebQTrn-1847	who was the wife of king edward vii ?	[ spouse ] of @wd . human ( ) filter id == " Q20875 " ^^wd:human ;
WebQTrn-1850	when did freddy krueger die ?	[ date_of_death ] of @wd . entity ( ) filter id == " Q329466 " ^^wd:entity ;
WebQTrn-1860	where does kirk cameron live now ?	[ residence ] of @wd . human ( ) filter id == " Q471858 " ^^wd:human ;
WebQTrn-1861	what continent is greenland apart of ?	[ continent ] of @wd . landform ( ) filter id == " Q4148644 " ^^wd:landform ;
WebQTrn-1864	which asian country has the biggest population ?	sort ( population desc of @wd . country ( ) filter contains ( continent , " Q48 " ^^wd:p_continent ) ) [ 1 ] ;
WebQTrn-1865	where did the san diego chargers originate ?	[ headquarters_location ] of @wd . sports_team ( ) filter id == " Q272220 " ^^wd:sports_team ;
WebQTrn-1869	who won last year ' s nfl super bowl ?	[ winner ] of sort ( point_in_time desc of @wd . entity ( ) filter instance_of == " Q32096 " ^^wd:entity_subdomain ) [ 1 ] ;
WebQTrn-1873	what happened to nagasaki ?	[ significant_event ] of @wd . city ( ) filter id == " Q38234 " ^^wd:city ;
