WebQTrn-3037	where do most of the people in egypt live ?	sort ( population desc of @wd . city ( ) filter contains ( country , " Q79 " ^^wd:p_country ) ) [ 1 ] ;
WebQTrn-3053	what inspired m . c . escher to become an artist ?	[ influenced_by ] of @wd . human ( ) filter id == " Q1470 " ^^wd:human ;
WebQTrn-3060	where does the band metallica live ?	[ location_of_formation ] of @wd . musical_group ( ) filter id == " Q15920 " ^^wd:musical_group ;
WebQTrn-3065	where did president eisenhower go to college ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q9916 " ^^wd:human ;
WebQTrn-3072	who did joseph from the bible marry ?	[ spouse ] of @wd . human ( ) filter id == " Q145746 " ^^wd:human ;
WebQTrn-3075	what college did joakim noah attend ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q311735 " ^^wd:human ;
WebQTrn-3080	when did the arab israeli war start ?	[ start_time ] of @wd . entity ( ) filter id == " Q8669 " ^^wd:entity ;
WebQTrn-3082	what all countries are in south america ?	[ < has_parts + > : Entity ( wd:country ) ] of @wd . location ( ) filter id == " Q18 " ^^wd:location ;
WebQTrn-3085	what ship did sir francis drake travel on ?	@wd . entity ( ) filter contains ( < instance_of * / subclass_of * > , " Q2235308 " ^^wd:p_subclass_of ) && contains ( commissioned_by , " Q36517 " ^^wd:p_commissioned_by ) ;
WebQTrn-3087	what does united church of christ believe ?	[ official_religion ] of @wd . entity ( ) filter id == " Q426316 " ^^wd:entity ;
WebQTrn-3090	what university did barack obama attend ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q76 " ^^wd:human ;
WebQTrn-3091	when did venus williams win wimbledon ?	[ point_in_time ] of @wd . entity ( ) filter contains ( winner , " Q11578 " ^^wd:p_winner ) && contains ( part_of , any ( [ id ] of @wd . event ( ) filter instance_of == " Q41520 " ^^wd:event_subdomain ) ) ;
WebQTrn-3092	who is neil patrick harris dating ?	[ unmarried_partner ] of @wd . human ( ) filter id == " Q485310 " ^^wd:human ;
WebQTrn-3100	what is the dominican republic part of ?	[ part_of ] of @wd . country ( ) filter id == " Q786 " ^^wd:country ;
WebQTrn-3105	what did charles babbage make ?	@wd . entity ( ) filter contains ( discoverer_or_inventor , " Q46633 " ^^wd:p_discoverer_or_inventor ) ;
WebQTrn-3109	what colleges did alice walker attend ?	[ educated_at : Entity ( wd:higher_education_institution ) ] of @wd . human ( ) filter id == " Q215868 " ^^wd:human ;
WebQTrn-3113	who was peter frampton married to ?	[ spouse ] of @wd . human ( ) filter id == " Q337089 " ^^wd:human ;
WebQTrn-3115	who has coached the baltimore ravens ?	[ head_coach ] of @wd . sports_team ( ) filter id == " Q276539 " ^^wd:sports_team ;
WebQTrn-3125	what city uses gmt ?	@wd . city ( ) filter contains ( located_in_time_zone , " Q30192 " ^^wd:p_located_in_time_zone ) ;
WebQTrn-3126	where does the zambezi river begin ?	[ origin_of_the_watercourse ] of @wd . entity ( ) filter id == " Q43106 " ^^wd:entity ;
WebQTrn-3137	what does time warner own ?	[ subsidiary ] of @wd . organization ( ) filter id == " Q191715 " ^^wd:organization ;
WebQTrn-3144	where did andrew young go to school ?	[ educated_at ] of @wd . human ( ) filter id == " Q959635 " ^^wd:human ;
WebQTrn-3145	who started twa airlines ?	[ founded_by ] of @wd . airline ( ) filter id == " Q527341 " ^^wd:airline ;
WebQTrn-3146	what are the two dialects of chinese ?	( @wd . entity ( ) filter contains ( < subclass_of + > , " Q7850 " ^^wd:p_subclass_of ) && instance_of == " Q33384 " ^^wd:entity_subdomain ) [ 2 ] ;
WebQTrn-3148	where is washington dc located what state ?	[ located_in_the_administrative_territorial_entity ] of @wd . city ( ) filter id == " Q61 " ^^wd:city ;
WebQTrn-3152	who wrote luke bryan ' s drunk on you ?	[ composer ] of @wd . entity ( ) filter id == " Q3715559 " ^^wd:entity ;
WebQTrn-3174	what countries does germany share borders with ?	[ shares_border_with ] of @wd . country ( ) filter id == " Q183 " ^^wd:country ;
WebQTrn-3182	what are the names of snoopy brothers and sisters ?	[ sibling ] of @wd . fictional_character ( ) filter id == " Q207369 " ^^wd:fictional_character ;
WebQTrn-3187	what country was dmitri mendeleev born ?	[ country ] of @wd . entity ( ) filter in_array ( id , any ( [ place_of_birth ] of @wd . human ( ) filter id == " Q9106 " ^^wd:human ) ) ;
WebQTrn-3193	when is the us open tennis mens final 2011 ?	[ point_in_time ] of @wd . event ( ) filter id == " Q734138 " ^^wd:event ;
WebQTrn-3208	who owns the chrysler corporation ?	@wd . entity ( ) filter contains ( owner_of , " Q29610 " ^^wd:p_owner_of ) ;
WebQTrn-3217	what writers influenced charles dickens ?	[ influenced_by ] of @wd . human ( ) filter id == " Q5686 " ^^wd:human && contains ( influenced_by , any ( [ id ] of @wd . entity ( ) filter contains ( occupation , " Q36180 " ^^wd:p_occupation ) ) ) ;
WebQTrn-3221	where did the florida marlins ?	[ located_in_the_administrative_territorial_entity ] of @wd . entity ( ) filter in_array ( id , any ( [ home_venue ] of @wd . sports_team ( ) filter id == " Q652879 " ^^wd:sports_team ) ) ;
